2025-08-04 10:01:59 INFO  c.d.factoraje.FactorajeApplication - Starting FactorajeApplication using Java 1.8.0_462 on MacBook-Air-de-Carlos.local with PID 3532 (/Users/ch/Documents/DEV/Davicash/Server/target/classes started by ch in /Users/ch/Documents/DEV/Davicash/Server)
2025-08-04 10:02:00 INFO  c.d.factoraje.FactorajeApplication - No active profile set, falling back to 1 default profile: "default"
2025-08-04 10:02:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2025-08-04 10:02:00 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2025-08-04 10:02:00 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-08-04 10:02:00 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 29 ms. Found 8 JPA repository interfaces.
2025-08-04 10:02:00 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2025-08-04 10:02:00 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-08-04 10:02:00 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.83]
2025-08-04 10:02:00 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-08-04 10:02:00 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 694 ms
2025-08-04 10:02:00 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-08-04 10:02:00 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
2025-08-04 10:02:00 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2025-08-04 10:02:00 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-08-04 10:02:01 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-08-04 10:02:01 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
2025-08-04 10:02:01 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2025-08-04 10:02:01 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-08-04 10:02:01 INFO  c.d.f.service.AgreementService - AgreementService initialized
2025-08-04 10:02:01 INFO  c.d.f.controller.AgreementController - AgreementController initialized
2025-08-04 10:02:01 INFO  c.d.factoraje.service.RoleService - RoleService initialized
2025-08-04 10:02:01 INFO  c.d.factoraje.service.UserService - UserService initialized
2025-08-04 10:02:01 INFO  c.d.factoraje.service.EntityService - EntityService initialized
2025-08-04 10:02:01 INFO  c.d.f.controller.AuthController - AuthController initialized
2025-08-04 10:02:01 INFO  c.d.f.service.DocumentService - DocumentService initialized
2025-08-04 10:02:01 INFO  c.d.f.controller.DocumentController - DocumentController initialized
2025-08-04 10:02:01 INFO  c.d.f.controller.EntityController - EntityController initialized
